ASX code,Company name,Security type,ISIN code
XINAHZ,ANNA UNQUOTED ISIN'S,MACQUARIE P-2395 WULIANGYE,AU000XINAHZ6
XINAI,ANNA UNQUOTED ISIN'S,ANZON ENERGY LIMITED - ORDINARY FULLY PAID,AU0000XINAI2
XINAIA,ANNA UNQUOTED ISIN'S,MACQUARIE P-2396 YANGHE BREWERY,AU000XINAIA7
XINAIB,ANNA UNQUOTED ISIN'S,MACQUARIE P-2397 PUDONG DEV,AU000XINAIB5
XINAIC,ANNA UNQUOTED ISIN'S,MACQUARIE P-2398 HUANENG POWER,AU000XINAIC3
XINAID,ANNA UNQUOTED ISIN'S,MACQUARIE P-2399 HUA XIA BANK,AU000XINAID1
XINAIE,ANNA UNQUOTED ISIN'S,MACQUARIE P-2400 MINSHENG BANK,AU000XINAIE9
XINAIF,ANNA UNQUOTED ISIN'S,MACQUARIE P-2401 BAOSHAN STEEL,AU000XINAIF6
XINAIG,ANNA UNQUOTED ISIN'S,MACQUARIE P-2402 SINOPEC CORP,AU000XINAIG4
XINAIH,ANNA UNQUOTED ISIN'S,MACQUARIE P-2403 CITIC,AU000XINAIH2
XINAII,ANNA UNQUOTED ISIN'S,MACQUARIE P-2404 SANY,AU000XINAII0
XINAIJ,ANNA UNQUOTED ISIN'S,MACQUARIE P-2405 MERCHANTS BANK,AU000XINAIJ8
XINAIK,ANNA UNQUOTED ISIN'S,MACQUARIE P-2406 POLY REAL ESTATE,AU000XINAIK6
XINAIL,ANNA UNQUOTED ISIN'S,MACQUARIE P-2407 UNITED NETWORK,AU000XINAIL4
XINAIM,ANNA UNQUOTED ISIN'S,MACQUARIE P-2408 SAIC MOTOR,AU000XINAIM2
XINAIN,ANNA UNQUOTED ISIN'S,MACQUARIE P-2409 RARE-EARTH,AU000XINAIN0
XINAIO,ANNA UNQUOTED ISIN'S,MACQUARIE P-2410 YANZHOU COAL,AU000XINAIO8
XINAIP,ANNA UNQUOTED ISIN'S,MACQUARIE P-2411 JIANGXI COPPER,AU000XINAIP5
XINAIQ,ANNA UNQUOTED ISIN'S,MACQUARIE P-2412 MOUTAI,AU000XINAIQ3
XINAIR,ANNA UNQUOTED ISIN'S,MACQUARIE P-2413 ANHUI CONCH,AU000XINAIR1
XINAIS,ANNA UNQUOTED ISIN'S,MACQUARIE P-2414 HAITONG SEC,AU000XINAIS9
XINAIT,ANNA UNQUOTED ISIN'S,MACQUARIE P-2415 YANGTZE POWER,AU000XINAIT7
XINAIU,ANNA UNQUOTED ISIN'S,MACQUARIE P-2416 DAQIN RAILWAY,AU000XINAIU5
XINAIV,ANNA UNQUOTED ISIN'S,MACQUARIE P-2417 CHINA SHENHUA,AU000XINAIV3
XINAIW,ANNA UNQUOTED ISIN'S,MACQUARIE P-2418 AIR CHINA,AU000XINAIW1
XINAIX,ANNA UNQUOTED ISIN'S,MACQUARIE P-2419 IND BANK,AU000XINAIX9
XINAIY,ANNA UNQUOTED ISIN'S,MACQUARIE P-2420 BEIJING BANK,AU000XINAIY7
XINAIZ,ANNA UNQUOTED ISIN'S,MACQUARIE P-2421 CN RAILWAY CONST,AU000XINAIZ4
XINAJ,ANNA UNQUOTED ISIN'S,SEEING MACHINE PTY LIMITED - ORDINARY FULLY PAID,AU0000XINAJ0
XINAJA,ANNA UNQUOTED ISIN'S,MACQUARIE P-2422 AGRI BANK OF CN,AU000XINAJA5
XINAJB,ANNA UNQUOTED ISIN'S,MACQUARIE P-2423 CN PING AN,AU000XINAJB3
XINAJC,ANNA UNQUOTED ISIN'S,MACQUARIE P-2424 BANK OF COMM,AU000XINAJC1
XINAJD,ANNA UNQUOTED ISIN'S,MACQUARIE P-2425 NEW CN INSURANCE,AU000XINAJD9
XINAJE,ANNA UNQUOTED ISIN'S,MACQUARIE P-2426 ICBC,AU000XINAJE7
XINAJF,ANNA UNQUOTED ISIN'S,MACQUARIE P-2427 CHINA PACIFIC,AU000XINAJF4
XINAJG,ANNA UNQUOTED ISIN'S,MACQUARIE P-2428 CHINA LIFE,AU000XINAJG2
XINAJH,ANNA UNQUOTED ISIN'S,MACQUARIE P-2429 GREAT WALL MOTOR,AU000XINAJH0
XINAJI,ANNA UNQUOTED ISIN'S,MACQUARIE P-2430 CHINA STATE CON,AU000XINAJI8
XINAJK,ANNA UNQUOTED ISIN'S,MACQUARIE P-2431 CN COMMU CONS,AU000XINAJK4
XINAJL,ANNA UNQUOTED ISIN'S,MACQUARIE P-2432 CHINA OILFIELD,AU000XINAJL2
XINAJM,ANNA UNQUOTED ISIN'S,MACQUARIE P-2433 EVERBRIGHT BANK,AU000XINAJM0
XINAJN,ANNA UNQUOTED ISIN'S,MACQUARIE P-2434 PETROCHINA,AU000XINAJN8
XINAJO,ANNA UNQUOTED ISIN'S,MACQUARIE P-2435 CN COAL ENERGY,AU000XINAJO6
XINAJP,ANNA UNQUOTED ISIN'S,MACQUARIE P-2436 CONSTR BANK,AU000XINAJP3
XINAJQ,ANNA UNQUOTED ISIN'S,MACQUARIE P-2437 BANK OF CHINA,AU000XINAJQ1
XINAJR,ANNA UNQUOTED ISIN'S,MACQUARIE P-2438 CN SHIPBUILDING,AU000XINAJR9
XINAJS,ANNA UNQUOTED ISIN'S,MACQUARIE P-2439 CN CITIC BANK,AU000XINAJS7
XINAJT,ANNA UNQUOTED ISIN'S,MACQUARIE P-2447 FORH IN EQUITY,AU000XINAJT5
XINAJU,ANNA UNQUOTED ISIN'S,UBS GOALS SERIES 141 DEFERRED PURCHASE AGREEMENT,AU000XINAJU3
XINAJV,ANNA UNQUOTED ISIN'S,UBS GOALS SERIES 143 DEFERRED PURCHASE AGREEMENT,AU000XINAJV1
XINAJW,ANNA UNQUOTED ISIN'S,UBS GOALS SERIES 142 DEFERRED PURCHASE AGREEMENT,AU000XINAJW9
XINAJX,ANNA UNQUOTED ISIN'S,MACQUARIE P-2454 JSW IN EQUITY,AU000XINAJX7
XINAJY,ANNA UNQUOTED ISIN'S,MACQUARIE P-2455 CS EQUITY,AU000XINAJY5
XINAJZ,ANNA UNQUOTED ISIN'S,MACQUARIE P-2456 CS EQUITY,AU000XINAJZ2
XINAK,ANNA UNQUOTED ISIN'S,INTERNATIONAL FERRO METALS LTD-ORDINARY FULLY PAID,AU0000XINAK8
XINAKB,ANNA UNQUOTED ISIN'S,UBS GOALS SERIES 144 DEFERRED PURCHASE AGREEMENT,AU000XINAKB1
XINAKC,ANNA UNQUOTED ISIN'S,UBS GOALS SERIES 145 DEFERRED PURCHASE AGREEMENT,AU000XINAKC9
XINAKD,ANNA UNQUOTED ISIN'S,UBS GOALS SERIES 146 DEFERRED PURCHASE AGREEMENT,AU000XINAKD7
XINAKE,ANNA UNQUOTED ISIN'S,MACQUARIE P-2470 ADSEZ IN EQUITY,AU000XINAKE5
XINAKF,ANNA UNQUOTED ISIN'S,UBS GOALS SERIES 147 DEFERRED PURCHASE AGREEMENT,AU000XINAKF2
XINAKG,ANNA UNQUOTED ISIN'S,UBS GOALS SERIES 148 DEFERRED PURCHASE AGREEMENT,AU000XINAKG0
XINAKH,ANNA UNQUOTED ISIN'S,MACQUARIE P-2479 MGFL IN EQUITY,AU000XINAKH8
XINAKI,ANNA UNQUOTED ISIN'S,MACQUARIE P-2480 {BHFC IN EQUITY,AU000XINAKI6
XINAKJ,ANNA UNQUOTED ISIN'S,MACQUARIE P-2481 CS EQUITY,AU000XINAKJ4
XINAKK,ANNA UNQUOTED ISIN'S,MACQUARIE P-2482 CS EQUITY,AU000XINAKK2
XINAKL,ANNA UNQUOTED ISIN'S,MACQUARIE P-2483 IN EQUITY,AU000XINAKL0
XINAKM,ANNA UNQUOTED ISIN'S,UBS GOALS SERIES 149 DEFERRED PURCHASE AGREEMENT,AU000XINAKM8
XINAKN,ANNA UNQUOTED ISIN'S,MACQUARIE P-2330 TT EQUITY,AU000XINAKN6
XINAKO,ANNA UNQUOTED ISIN'S,MACQUARIE P-2347 TT EQUITY,AU000XINAKO4
XINAKP,ANNA UNQUOTED ISIN'S,MACQUARIE P-3034 TT EQUITY,AU000XINAKP1
XINAKQ,ANNA UNQUOTED ISIN'S,MACQUARIE P-2454 TT EQUITY,AU000XINAKQ9
XINAKR,ANNA UNQUOTED ISIN'S,MACQUARIE P-2884 TT EQUITY,AU000XINAKR7
XINAKS,ANNA UNQUOTED ISIN'S,UBS GOALS SERIES 150 DEFERRED PURCHASE AGREEMENT,AU000XINAKS5
XINAKT,ANNA UNQUOTED ISIN'S,MACQUARIE BHOR IN EQUITY,AU000XINAKT3
XINAKU,ANNA UNQUOTED ISIN'S,UBS GOALS SERIES 20 DEFERRED PURCHASE AGREEMENT,AU000XINAKU1
XINAKV,ANNA UNQUOTED ISIN'S,UBS GOALS SERIES 21 DEFERRED PURCHASE AGREEMENT,AU000XINAKV9
XINAKW,ANNA UNQUOTED ISIN'S,UBS GOALS SERIES 151 DEFERRED PURCHASE AGREEMENT,AU000XINAKW7
XINAKX,ANNA UNQUOTED ISIN'S,UBS GOALS SERIES 152 DEFERRED PURCHASE AGREEMENT,AU000XINAKX5
XINAKY,ANNA UNQUOTED ISIN'S,MACQUARIE HPCL IS EQUITY,AU000XINAKY3
XINAKZ,ANNA UNQUOTED ISIN'S,UBS GOALS SERIES 153 DEFERRED PURCHASE AGREEMENT,AU000XINAKZ0
XINAL,ANNA UNQUOTED ISIN'S,MACQUARIE ESCALATOR 2005-2 (EQUITIES INDEX) LP,AU0000XINAL6
XINALA,ANNA UNQUOTED ISIN'S,UBS PIP SERIES 20,AU000XINALA1
XINALB,ANNA UNQUOTED ISIN'S,UBS PIP SERIES 21,AU000XINALB9
XINALC,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 154 DEFERRED PURCHASE AGREEMENT,AU000XINALC7
XINALD,ANNA UNQUOTED ISIN'S,MACQUARIE P-1565 TT EQUITY,AU000XINALD5
XINALE,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 155 DEFERRED PURCHASE AGREEMENT,AU000XINALE3
XINALF,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 156 DEFERRED PURCHASE AGREEMENT,AU000XINALF0
XINALG,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 157 DEFERRED PURCHASE AGREEMENT,AU000XINALG8
XINALH,ANNA UNQUOTED ISIN'S,MACQUARIE P-2485 TT EQUITY,AU000XINALH6
XINALI,ANNA UNQUOTED ISIN'S,MACQUARIE P-2486 TT EQUITY,AU000XINALI4
XINALJ,ANNA UNQUOTED ISIN'S,MACQUARIE P-2487 TT EQUITY,AU000XINALJ2
XINALK,ANNA UNQUOTED ISIN'S,MACQUARIE P-2488 TT EQUITY,AU000XINALK0
XINALL,ANNA UNQUOTED ISIN'S,MACQUARIE WHIRL IN EQUITY,AU000XINALL8
XINALM,ANNA UNQUOTED ISIN'S,MACQUARIE MRF IS EQUITY,AU000XINALM6
XINALN,ANNA UNQUOTED ISIN'S,MACQUARIE P-05040,AU000XINALN4
XINALO,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 158 DEFERRED PURCHASE AGREEMENT,AU000XINALO2
XINALP,ANNA UNQUOTED ISIN'S,UBS CAPPED SERIES 2 DEFERRED PURCHASE AGREEMENT,AU000XINALP9
XINALQ,ANNA UNQUOTED ISIN'S,UBS CAPPED SERIES 3 DEFERRED PURCHASE AGREEMENT,AU000XINALQ7
XINALR,ANNA UNQUOTED ISIN'S,UBS CAPPED SERIES 4 DEFERRED PURCHASE AGREEMENT,AU000XINALR5
XINALS,ANNA UNQUOTED ISIN'S,UBS CAPPED SERIES 5 DEFERRED PURCHASE AGREEMENT,AU000XINALS3
XINALT,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 159 DEFERRED PURCHASE AGREEMENT,AU000XINALT1
XINALU,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 160 DEFERRED PURCHASE AGREEMENT,AU000XINALU9
XINALV,ANNA UNQUOTED ISIN'S,MACQUARIE P-05057 ENGR IS EQUITY,AU000XINALV7
XINALW,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 161 DEFERRED PURCHASE AGREEMENT,AU000XINALW5
XINALX,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 162 DEFERRED PURCHASE AGREEMENT,AU000XINALX3
XINALY,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 164 DEFERRED PURCHASE AGREEMENT,AU000XINALY1
XINALZ,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 165 DEFERRED PURCHASE AGREEMENT,AU000XINALZ8
XINAM,ANNA UNQUOTED ISIN'S,MACQUARIE ESCALATOR 2005-2 (COMMODITIES INDEX) LP,AU0000XINAM4
XINAMA,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 166 DEFERRED PURCHASE AGREEMENT,AU000XINAMA9
XINAMB,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 167 DEFERRED PURCHASE AGREEMENT,AU000XINAMB7
XINAMC,ANNA UNQUOTED ISIN'S,MACQUARIE BB 700 HK EQUITY,AU000XINAMC5
XINAMD,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 168 DEFERRED PURCHASE AGREEMENT,AU000XINAMD3
XINAME,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 169 DEFERRED PURCHASE AGREEMENT,AU000XINAME1
XINAMF,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 170 DEFERRED PURCHASE AGREEMENT,AU000XINAMF8
XINAMG,ANNA UNQUOTED ISIN'S,MACQUARIE BB 601766 CG EQUITY,AU000XINAMG6
XINAMH,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 171 DEFERRED PURCHASE AGREEMENT,AU000XINAMH4
XINAMI,ANNA UNQUOTED ISIN'S,MACQUARIE BB 051910 KS EQUITY,AU000XINAMI2
XINAMJ,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 172 DEFERRED PURCHASE AGREEMENT,AU000XINAMJ0
XINAMK,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 173 DEFERRED PURCHASE AGREEMENT,AU000XINAMK8
XINAML,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 175 DEFERRED PURCHASE AGREEMENT,AU000XINAML6
XINAMM,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 176 DEFERRED PURCHASE AGREEMENT,AU000XINAMM4
XINAMN,ANNA UNQUOTED ISIN'S,MACQUARIE BB 010130 KS EQUITY,AU000XINAMN2
XINAMO,ANNA UNQUOTED ISIN'S,MACQUARIE BB 004800 KS EQUITY,AU000XINAMO0
XINAMP,ANNA UNQUOTED ISIN'S,MACQUARIE BB 000270 KS EQUITY,AU000XINAMP7
XINAMQ,ANNA UNQUOTED ISIN'S,MACQUARIE HAVL IS EQUITY,AU000XINAMQ5
XINAMR,ANNA UNQUOTED ISIN'S,MACQUARIE BB 000725 CS EQUITY,AU000XINAMR3
XINAMS,ANNA UNQUOTED ISIN'S,MACQUARIE BB STR IS EQUITY,AU000XINAMS1
XINAMT,ANNA UNQUOTED ISIN'S,MACQUARIE BB 1476 TT EQUITY,AU000XINAMT9
XINAMU,ANNA UNQUOTED ISIN'S,MACQUARIE BB ICICIBC IS EQUITY,AU000XINAMU7
XINAMV,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 177 DEFERRED PURCHASE AGREEMENT,AU000XINAMV5
XINAMW,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 179 DEFERRED PURCHASE AGREEMENT,AU000XINAMW3
XINAMX,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 180 DEFERRED PURCHASE AGREEMENT,AU000XINAMX1
XINAMY,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 181 DEFERRED PURCHASE AGREEMENT,AU000XINAMY9
XINAMZ,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 182 DEFERRED PURCHASE AGREEMENT,AU000XINAMZ6
XINAN,ANNA UNQUOTED ISIN'S,JAB RESOURCES LIMITED - ORDINARY FULLY PAID,AU0000XINAN2
XINANA,ANNA UNQUOTED ISIN'S,MACQUARIE BB IPCA IN EQUITY,AU000XINANA7
XINANB,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 183 DEFERRED PURCHASE AGREEMENT,AU000XINANB5
XINANC,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 184 DEFERRED PURCHASE AGREEMENT,AU000XINANC3
XINAND,ANNA UNQUOTED ISIN'S,MACQUARIE BB 8422 TT EQUITY,AU000XINAND1
XINANE,ANNA UNQUOTED ISIN'S,MACQUARIE BB 9910 TT EQUITY,AU000XINANE9
XINANG,ANNA UNQUOTED ISIN'S,MACQUARIE BB 3008 TT EQUITY,AU000XINANG4
XINANH,ANNA UNQUOTED ISIN'S,MACQUARIE BB 6176 TT EQUITY,AU000XINANH2
XINANI,ANNA UNQUOTED ISIN'S,MACQUARIE BB 3189 TT EQUITY,AU000XINANI0
XINANJ,ANNA UNQUOTED ISIN'S,MACQUARIE BB 5170 TT EQUITY,AU000XINANJ8
XINANK,ANNA UNQUOTED ISIN'S,MACQUARIE BB 5171 TT EQUITY,AU000XINANK6
XINANL,ANNA UNQUOTED ISIN'S,MACQUARIE BB 2451 TT EQUITY,AU000XINANL4
XINANM,ANNA UNQUOTED ISIN'S,MACQUARIE BB 2327 TT EQUITY,AU000XINANM2
XINANN,ANNA UNQUOTED ISIN'S,UBS GOAL SERIES 186 DEFERRED PURCHASE AGREEMENT,AU000XINANN0
XINANO,ANNA UNQUOTED ISIN'S,MACQUARIE BB 3529 TT EQUITY,AU000XINANO8
XINANP,ANNA UNQUOTED ISIN'S,MACQUARIE BB 3044 TT EQUITY,AU000XINANP5
XINANQ,ANNA UNQUOTED ISIN'S,MACQUARIE BB SHTF IS EQUITY,AU000XINANQ3
XINANR,ANNA UNQUOTED ISIN'S,ORDINARY FULLY PAID,AU000XINANR1
XINANS,ANNA UNQUOTED ISIN'S,ORDINARY FULLY PAID,AU000XINANS9
XINANT,ANNA UNQUOTED ISIN'S,ORDINARY FULLY PAID,AU000XINANT7
XINANU,ANNA UNQUOTED ISIN'S,MACQUARIE BB BOI IS EQUITY,AU000XINANU5
XINANV,ANNA UNQUOTED ISIN'S,MACQUARIE BB 600104 C1 EQUITY,AU000XINANV3
XINANW,ANNA UNQUOTED ISIN'S,MACQUARIE BB MSN VN EQUITY,AU000XINANW1
XINANX,ANNA UNQUOTED ISIN'S,MACQUARIE BB MBB VN EQUITY,AU000XINANX9
XINAO,ANNA UNQUOTED ISIN'S,FINDERS RESOURCES LIMITED - ORDINARY FULLY PAID,AU0000XINAO0
XINAP,ANNA UNQUOTED ISIN'S,GOLD INTERNATIONAL CORPORATION LTD-ORD. FULLY PAID,AU0000XINAP7
XINAPO,ANNA UNQUOTED ISIN'S,GOLD INTERNATIONAL CORPORATION LTD - OPTIONS,AU000XINAPO3
XINAQ,ANNA UNQUOTED ISIN'S,AUSTRALIAN DOLLAR - CURRENCY ISIN,AU0000XINAQ5
XINAR,ANNA UNQUOTED ISIN'S,JPMORGAN INVESTMENTS AUSTRALIA LTD - STRIPES 2,AU0000XINAR3
XINAS,ANNA UNQUOTED ISIN'S,CAP-XX LIMITED - ORDINARY FULLY PAID,AU0000XINAS1
XINAT,ANNA UNQUOTED ISIN'S,JPMORGAN INVESTMENTS AUSTRALIA LTD - STRIPES 3,AU0000XINAT9
XINAU,ANNA UNQUOTED ISIN'S,PERMO-DRIVE TECHNOLOGIES LIMITED,AU0000XINAU7
XINAV,ANNA UNQUOTED ISIN'S,MACQUARIE ESCALATOR 2006 (AUSTRALIAN PROPERTY) LP,AU0000XINAV5
XINAV1,ANNA UNQUOTED ISIN'S,MACQUARIE P-2260 GLAXOSMITHKLINE CONS HEALTH LTD,AU000XINAV19
XINAV7,ANNA UNQUOTED ISIN'S,MACQUARIE P-2256 NOVATEK MICROELECTRONICS LTD,AU000XINAV76
XINAV8,ANNA UNQUOTED ISIN'S,MACQUARIE P-2258 ITC LTD,AU000XINAV84
XINAV9,ANNA UNQUOTED ISIN'S,MACQUARIE P-2259 AKZO NOBEL INDIA LTD,AU000XINAV92
XINAW,ANNA UNQUOTED ISIN'S,AUSTRALIAN SOLOMONS GOLD LIMITED - COMMON,AU0000XINAW3
XINAWO,ANNA UNQUOTED ISIN'S,AUSTRALIAN SOLOMONS GOLD LIMITED - WARRANTS,AU000XINAWO9
XINAWU,ANNA UNQUOTED ISIN'S,AUSTRALIAN SOLOMONS GOLD LIMITED - UNITS,AU000XINAWU6
XINAX,ANNA UNQUOTED ISIN'S,INDIGO TECHNOLOGIES LIMITED - ORDINARY FULLY PAID,AU0000XINAX1
XINAY,ANNA UNQUOTED ISIN'S,GLOBAL FORESTS LIMITED - ORDINARY FULLY PAID,AU0000XINAY9
XINAZ,ANNA UNQUOTED ISIN'S,KASBAH RESOURCES LIMITED - ORDINARY FULLY PAID,AU0000XINAZ6
XINEB,ANNA UNQUOTED ISIN'S,CENTRAL KIMBERLEY DIAMONDS LTD - ORD. FULLY PAID,AU0000XINEB9
XINEC,ANNA UNQUOTED ISIN'S,JPMORGAN INVESTMENTS AUSTRALIA LTD - AE STRATAS,AU0000XINEC7
XINED,ANNA UNQUOTED ISIN'S,UBS PERLES PLUS - UNITS,AU0000XINED5
XINEE,ANNA UNQUOTED ISIN'S,CLASS A SHARES-ASIAN PACIFIC PROPERTY 2007 PTY LTD,AU0000XINEE3
XINEEA,ANNA UNQUOTED ISIN'S,CLASS B SHARES-ASIAN PACIFIC PROPERTY 2007 PTY LTD,AU000XINEEA8
XINEEB,ANNA UNQUOTED ISIN'S,CLASS C SHARES-ASIAN PACIFIC PROPERTY 2007 PTY LTD,AU000XINEEB6
XINEEC,ANNA UNQUOTED ISIN'S,CLASS D SHARES-ASIAN PACIFIC PROPERTY 2007 PTY LTD,AU000XINEEC4
XINEF,ANNA UNQUOTED ISIN'S,ANZ-FRN SUBORDINATED UNDATE CALLABLE SET-UP NOTES,AU0000XINEF0
XINEG,ANNA UNQUOTED ISIN'S,ORDINARY FULLY PAID - PLANTIC TECHNOLOGIES LIMITED,AU0000XINEG8
XINEH,ANNA UNQUOTED ISIN'S,ORDINARY FULLY PAID - INDO GOLD LIMITED,AU0000XINEH6
XINEI,ANNA UNQUOTED ISIN'S,OCEAN LINX - ORDINARY FULLY PAID,AU0000XINEI4
XINEJ,ANNA UNQUOTED ISIN'S,ARCHIPELAGO METALS LTD - ORDINARY FULLY PAID,AU0000XINEJ2
XINEK,ANNA UNQUOTED ISIN'S,ARCHIPELAGO METALS - OPTIONS,AU0000XINEK0
XINEL,ANNA UNQUOTED ISIN'S,MI MEDIA HOLDINGS LIMITED - ORDINARY FULLY PAID,AU0000XINEL8
XINEM,ANNA UNQUOTED ISIN'S,CALIX LTD - ORDINARY FULLY PAID,AU0000XINEM6
XINEN,ANNA UNQUOTED ISIN'S,CORONA MINERALS LIMITED - ORDINARY FULLY PAID,AU0000XINEN4
XINENO,ANNA UNQUOTED ISIN'S,CORONA MINERALS LIMITED - WARRANTS,AU000XINENO0
XINENU,ANNA UNQUOTED ISIN'S,CORONA MINERALS LIMITED - UNITS,AU000XINENU7
XINEOA,ANNA UNQUOTED ISIN'S,TRONOX LIMITED - CLASS A SHARES,AU000XINEOA7
XINEOB,ANNA UNQUOTED ISIN'S,TRONOX LIMITED - CLASS B,AU000XINEOB5
XINEP,ANNA UNQUOTED ISIN'S,MONGOLIAN COAL COMPANY LTD - ORDINARY SHARES,AU0000XINEP9
XINEQ,ANNA UNQUOTED ISIN'S,AUD AUSTRALIAN CAPITAL INVESTMENT GRP 11-2023 DEBT,AU0000XINEQ7
XINES,ANNA UNQUOTED ISIN'S,SERIES 1 A$4999999.50 OF 7.50% NOTES,AU0000XINES3
XINET,ANNA UNQUOTED ISIN'S,MOSMAN OIL AND GAS LIMITED - ORDINARY FULLY PAID,AU0000XINET1
XINEU,ANNA UNQUOTED ISIN'S,PARNELL PHARMACEUTICALS HOLDINGS LTD-ORD FULL PAID,AU0000XINEU9
XINEV,ANNA UNQUOTED ISIN'S,ALLIANCE MINERAL ASSETS LIMITED FULLY PAID ORD SHS,AU0000XINEV7
XINEW,ANNA UNQUOTED ISIN'S,ROYAL WINS PTY LTD FULLY PAID ORD SHS,AU0000XINEW5
XINEX,ANNA UNQUOTED ISIN'S,IRONRIDGE RESOURCES LIMITED - FULLY PAID ORD SHS,AU0000XINEX3
XINP10,ANNA UNQUOTED ISIN'S,UBS PIP SERIES 10 DEFERRED PURCHASE AGREEMENT,AU000XINP103
XINP18,ANNA UNQUOTED ISIN'S,UBS PIP SERIES 18 DEFERRED PURCHASE AGREEMENT,AU000XINP186
XINP19,ANNA UNQUOTED ISIN'S,UBS PERLES SERIES 19 DEFERRED PURCHASE AGREEMENT,AU000XINP194
XINP7,ANNA UNQUOTED ISIN'S,UBS PERLES SERIES 7 DEFERRED PURCHASE AGREEMENT,AU0000XINP72
XINAKA,ANNA UNQUOTED ISIN'S,MACQUARIE P-2458 VYSB IN EQUITY,AU000XINAKA3
AWV,ANOVA METALS LTD,ORDINARY FULLY PAID,AU000000AWV3
AWVAY,ANOVA METALS LTD,PERFORMANCE SHARES,AU0000AWVAY1
AWVAI,ANOVA METALS LTD,OPTION EXPIRING 31-JAN-2015 EX 5C,AU0000AWVAI4
AWVAJ,ANOVA METALS LTD,OPTION EXPIRING 30-NOV-2016 EX 5C,AU0000AWVAJ2
AWVAK,ANOVA METALS LTD,PERFORMANCE RIGHTS,AU0000AWVAK0
AWVAS,ANOVA METALS LTD,OPTION EXPIRING 31-DEC-2014 EX 30C,AU0000AWVAS3
AWVAW,ANOVA METALS LTD,OPTION EXPIRING 31-DEC-2016 EX VARIOUS PRICES,AU0000AWVAW5
ANN,ANSELL LIMITED,ORDINARY FULLY PAID,AU000000ANN9
ANNAI,ANSELL LIMITED,ORDINARY PARTLY PAID EXECUTIVE,AU0000ANNAI0
AZZ,ANTARES ENERGY LTD,ORDINARY FULLY PAID,AU000000AZZ7
AZZG,ANTARES ENERGY LTD,10% UNSEC. RED. CONVERTIBLE NOTE MAT. 30-OCT-2023,AU00000AZZG9
AWW,ANTARES MINING,ORDINARY FULLY PAID,AU000000AWW1
AWWAO,ANTARES MINING,OPTION EXPIRING 30-JUN-2015 EX 3.5C,AU0000AWWAO0
ANO,ANTARIA LIMITED,ORDINARY FULLY PAID,AU000000ANO7
ANOAW,ANTARIA LIMITED,OPTION EXPIRING 21-JUN-2012 EX 20C,AU0000ANOAW9
ANOAZ,ANTARIA LIMITED,OPTION EXPIRING 30-JUN-2012 EX 30.8C,AU0000ANOAZ2
ADO,ANTEO DIAGNOSTICS,ORDINARY FULLY PAID,AU000000ADO8
ADOAA,ANTEO DIAGNOSTICS,OPTION EXPIRING VARIOUS DATES EX 15.6C,AU0000ADOAA6
ADOAC,ANTEO DIAGNOSTICS,OPTION EXPIRING 16-APR-2018 EX 26.5C,AU0000ADOAC2
ADOAD,ANTEO DIAGNOSTICS,OPTION EXPIRING 10-NOV-2018 EX 20C,AU0000ADOAD0
ADOAE,ANTEO DIAGNOSTICS,OPTION EXPIRING 15-DEC-2018 EX VARIOUS PRICES,AU0000ADOAE8
ADOAK,ANTEO DIAGNOSTICS,OPTION EXPIRING VARIOUS DATES EX 12C,AU0000ADOAK5
ADOAB,ANTEO DIAGNOSTICS,OPTION EXPIRING 24-FEB-2018 EX 25C,AU0000ADOAB4
AVD,ANTILLES OIL AND GAS,ORDINARY FULLY PAID,AU000000AVD3
AVDDA,ANTILLES OIL AND GAS,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000AVDDA5
AVDDC,ANTILLES OIL AND GAS,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000AVDDC1
